Project;Type;Part;;;
Вологда;1;0,0249;;;
Екатеринбург;1;0,0334;;;
Йошкар-Ола;1;0,0547;;;
Казань;1;0,0547;;;
Красноярск;1;0,0748;;;
Москва;1;0,0362;;;
Нижний Новгород;1;0,0388;;;
Новосибирск;1;0,0760;;;
Омск;1;0,0612;;;
Пермь;1;0,0464;;;
Самара;1;0,0286;;;
Санкт-Петербург;1;0,0402;;;
Тольятти;1;0,0372;;;
Уфа;1;0,0554;;;
Челябинск;1;0,0487;;;
Абакан;2;0,0490;;;
Актау;2;0,0540;;;
Алматы;2;0,0528;;;
Альметьевск;2;0,0402;;;
Армавир;2;0,0397;;;
Архангельск;2;0,0492;;;
Астана;2;0,0667;;;
Астрахань;2;0,0754;;;
Барнаул;2;0,0785;;;
Белгород;2;0,0247;;;
Бийск;2;0,0698;;;
Бишкек;2;0,0460;;;
Благовещенск;2;0,1204;;;
Братск;2;0,0532;;;
Брянск;2;0,0248;;;
Великий Новгород;2;0,0293;;;
Владивосток;2;0,0530;;;
Владимир;2;0,0304;;;
Волгоград;2;0,0342;;;
Воронеж;2;0,0335;;;
Днепр;2;0,0376;;;
Донецк;2;0,0000;;;
Дубай. Шарджа. Аджман;2;0,0179;;;
Иваново;2;0,0331;;;
Ижевск;2;0,0303;;;
Иркутск;2;0,0753;;;
КавМинВоды;2;0,0244;;;
Калининград;2;0,0458;;;
Калуга;2;0,0262;;;
Каменск-Уральский;2;0,0379;;;
Караганда;2;0,0457;;;
Кемерово;2;0,0818;;;
Київ;2;0,0272;;;
Кипр;2;0,0205;;;
Киров;2;0,0435;;;
Комсомольск-на-Амуре;2;0,0815;;;
Кострома;2;0,0461;;;
Краснодар;2;0,0518;;;
Курган;2;0,0501;;;
Курск;2;0,0323;;;
Ленинск-Кузнецкий;2;0,0395;;;
Липецк;2;0,0365;;;
Магнитогорск;2;0,0526;;;
Махачкала;2;0,0422;;;
Миасс и Златоуст;2;0,0474;;;
Мурманск;2;0,0152;;;
Набережные Челны;2;0,0627;;;
Находка;2;0,0655;;;
Нижневартовск;2;0,0730;;;
Нижний Тагил;2;0,0399;;;
Новокузнецк;2;0,0893;;;
Новороссийск;2;0,0422;;;
Норильск;2;0,0600;;;
Ноябрьск;2;0,0491;;;
Одесса;2;0,0484;;;
Орёл;2;0,0035;;;
Оренбург;2;0,0414;;;
Павлодар;2;0,0437;;;
Падуя;2;0,0000;;;
Пенза;2;0,0365;;;
Петрозаводск;2;0,0404;;;
Петропавловск-Камчатский;2;0,0389;;;
Прага;2;0,0082;;;
Псков;2;0,0413;;;
Республика Алтай;2;0,0379;;;
Ростов-на-Дону;2;0,0373;;;
Рязань;2;0,0314;;;
Сантьяго;2;0,0000;;;
Саранск;2;0,0061;;;
Саратов;2;0,0465;;;
Саяногорск;2;0,0179;;;
Смоленск;2;0,0327;;;
Сочи;2;0,0577;;;
Ставрополь;2;0,0565;;;
Старый Оскол;2;0,0072;;;
Стерлитамак;2;0,0610;;;
Сургут;2;0,0765;;;
Сыктывкар;2;0,0469;;;
Тамбов;2;0,0285;;;
Тверь;2;0,0484;;;
Тобольск;2;0,0497;;;
Томск;2;0,0749;;;
Тула;2;0,0394;;;
Тюмень;2;0,0772;;;
Улан-Удэ;2;0,0988;;;
Ульяновск;2;0,0405;;;
Уральск;2;0,0523;;;
Уссурийск;2;0,0722;;;
Усть-Каменогорск;2;0,0631;;;
Хабаровск;2;0,0613;;;
Харьков;2;0,0334;;;
Чебоксары;2;0,0331;;;
Чита;2;0,0890;;;
Шымкент;2;0,0423;;;
Южно-Сахалинск;2;0,0385;;;
Якутск;2;0,1183;;;
Ярославль;2;0,0530;;;
